timp,eroare
152.958890954,-0.02984772920608525
153.153941876,-0.01838396787643437
153.332857746,-0.034661042690277144
153.485631675,-0.07143692970275883
153.681978214,-0.10334448814392094
153.807671483,-0.12981723546981816
154.001082302,-0.15361182689666752
154.154273386,-0.1743039965629578
154.272606567,-0.19258009195327763
154.384036199,-0.2082964658737183
154.540660032,-0.2218283295631409
154.688059745,-0.23332219123840336
154.818780206,-0.24289594888687138
154.941581179,-0.24852846860885625
155.118547843,-0.2508250951766968
155.28705053,-0.2526798725128174
155.470159988,-0.2536780118942261
155.658742505,-0.2633397459983826
155.873402196,-0.2662694334983826
156.024862851,-0.2684808254241944
156.143274754,-0.26952652931213383
156.315024962,-0.2705585837364197
156.475991765,-0.2708177447319031
156.589371799,-0.27036713361740117
156.704358004,-0.2694399237632752
156.822012801,-0.26804732084274296
156.9543916,-0.26617299318313603
157.134302064,-0.2638757109642029
157.271572028,-0.26112960577011113
157.455228532,-0.25792734622955327
157.564266775,-0.25319330692291264
157.703701109,-0.24678461551666264
157.897038528,-0.2386110901832581
158.038242648,-0.22859750986099248
158.190997156,-0.21664534807205205
158.338033714,-0.20262973308563237
158.501838945,-0.18639563322067265
158.650316467,-0.1673539757728577
158.842313542,-0.1439550399780274
158.993272691,-0.11810188293457036
159.164692382,-0.09007929563522343
159.284362608,-0.05762957334518437
159.434581704,-0.020952332019805953
159.530631881,0.020366919040679887
159.7030991,0.06482554674148555
159.878784732,0.10515446662902828
159.997084756,0.10494257211685176
160.154661833,0.09288485050201412
160.268279949,0.08114404678344722
160.567420781,0.06890733242034908
160.701130046,0.057121109962463334
160.891335927,0.04508299827575679
161.046871566,0.03274072408676143
161.160413979,0.010504734516143754
161.297645731,-0.011502373218536421
161.423088729,-0.02638940811157231
161.551635095,-0.030963706970214888
161.720059474,-0.036189365386962935
161.873289199,-0.027985918521881148
161.99285085,-0.015700268745422408
162.163348375,0.056580317020416215
162.343170622,0.1413639903068542
162.463507782,0.23820180892944331
162.582567908,0.26900167465209956
162.727251425,0.2625592470169067
162.830457156,0.24275441169738765
162.99070136,0.2225533246994018
163.094742286,0.20215411186218257
163.219981707,0.18234891891479488
163.372573478,0.1615533351898193
163.517108468,0.14135105609893794
163.700111464,0.11936588287353511
163.848664688,0.09955943822860713
163.975146772,0.077970278263092
164.100569728,0.058361721038818315
164.242768223,0.038555037975311235
164.362089253,0.01855016946792598
164.477068609,-0.0010585665702820268
164.625505533,-0.018737304210662886
164.759478166,-0.026481020450592085
164.911266923,-0.02907185554504399
165.08257951,-0.02969979047775273
165.325346505,-0.029811608791351363
165.584604717,-0.029449510574340865
165.745936011,-0.028607177734375044
165.894265804,-0.027328300476074263
166.061866451,-0.025585281848907515
166.213228393,-0.023391413688659712
166.337473174,-0.02077196836471562
166.493811139,-0.017742800712585494
166.624574938,-0.039838421344757124
166.737411413,-0.0891393899917603
166.858238844,-0.13257883787155156
167.002978104,-0.1706324696540833
167.10594196,-0.20378141403198247
167.23584399,-0.23333053588867192
167.343127687,-0.2601727724075318
167.478808916,-0.28273694515228276
167.597555209,-0.30311201810836796
167.763745182,-0.3212565958499909
167.909321706,-0.3371971428394318
168.070711719,-0.35104354023933415
168.190421294,-0.3633858144283295
168.405662313,-0.37365193963050847
168.529017053,-0.3823289752006531
168.659340716,-0.3894991755485535
168.796475204,-0.3952742993831635
168.961322833,-0.3995554327964783
169.081186665,-0.40274296998977666
169.203795835,-0.4053731441497803
169.324667351,-0.4075989902019501
169.4359107,-0.40945901274681096
169.575458359,-0.41077487468719487
169.719024637,-0.41161097884178166
169.844770258,-0.41200261116027836
170.026148375,-0.4119008660316468
170.145628912,-0.4113379001617432
170.263665467,-0.41030843853950505
170.373566558,-0.40885378718376164
170.546116794,-0.40693478584289555
170.681600898,-0.4045576333999634
170.826395924,-0.40173061490058903
170.985726045,-0.09718214273452763
171.11663791,-0.10030536651611333
171.229815271,-0.09724174737930302
171.36553884,-0.09901432991027836
171.522752571,-0.09482382535934453
171.630579311,-0.09534214735031132
171.752603139,-0.09046183824539189
171.990067702,-0.0851905226707459
172.119227943,-0.06415795087814335
172.237337168,-0.04011498689651494
172.395806028,-0.01273654699325566
172.53853998,0.018371772766113237
172.704535001,0.051898074150085405
172.926347768,0.08054805994033809
173.057959309,0.07624496221542354
173.164295168,0.06286395788192745
173.350764007,0.0487923145294189
173.489236251,0.034981262683868364
173.597350635,0.02143294811248775
173.753025064,0.007606875896453813
173.849706904,-0.00568245649337773
173.954559934,-0.017150151729583785
174.171314026,-0.0187392115592957
174.333837299,0.01112742424011226
174.445834614,0.05765278339385982
174.585113747,0.10056914091110225
174.706357068,0.10388929843902583
174.840340817,0.0919126987457275
175.00153911,0.08015139102935787
175.211198015,0.06848217248916622
175.402780369,0.05679364204406734
175.517213378,0.04508961439132686
175.635901579,0.0333731889724731
175.752177535,0.021764171123504594
175.880172089,0.010029983520507768
176.01625706,-0.0018280029296875444
176.118440051,-0.012747454643249556
176.249461229,-0.017699050903320357
176.354675258,0.01301784515380855
176.498934687,0.0723252415657043
176.657472002,0.10459036827087398
176.866684069,0.08433831930160518
176.985336451,0.06508339643478389
177.119971133,0.04620702266693111
177.287359323,0.027331304550170854
177.440111237,0.008456063270568803
177.528776546,-0.010418939590454146
177.781279017,-0.026080536842346236
177.922897753,-0.03189055919647221
178.09881979,-0.03540633916854863
178.248241421,-0.03780804872512822
178.41304917,-0.0397311925888062
178.531759071,-0.04120140075683598
178.684029588,-0.04219876527786259
178.825680918,-0.04276298284530644
178.978348133,-0.042860674858093306
179.101487102,-0.042473125457763716
179.236273192,-0.0416470050811768
179.361222955,-0.04033528566360478
179.490589139,-0.038568842411041304
179.615643265,-0.03635780811309819
179.789912912,-0.03368644714355473
179.886496494,-0.030384469032287642
180.00891803,-0.02554230690002446
180.132708156,-0.018539476394653365
180.250400247,-0.008966791629791304
180.365465084,0.003530216217040971
180.472008257,0.01477880477905269
180.599220626,0.019819867610931352
180.734787206,0.008105170726776079
180.863709701,-0.009547221660614058
180.995541297,-0.023003029823303267
181.14844722,-0.02704178094863896
181.261592401,-0.029625523090362593
181.399265723,-0.05834429264068608
181.517542208,-0.08386336565017705
181.662825304,-0.1062374591827393
181.785260517,-0.1252138495445252
181.968265241,-0.14203618764877324
182.100213856,-0.15648399591445927
182.226973554,-0.1687156438827515
182.388740936,-0.17894821166992192
182.494140894,-0.18708341121673588
182.628409674,-0.1928584456443787
182.811234723,-0.19606046676635747
182.981152922,-0.1980469107627869
183.105593523,-0.1993880152702332
183.234992417,-0.1998743295669556
183.360673722,-0.2011011123657227
183.486905926,-0.20372955799102788
183.664079546,-0.20568828582763676
183.811040569,-0.20590149164199834
184.170496273,-0.2064995646476746
184.348353793,-0.20640616416931157
184.508628573,-0.20566670894622807
184.651938291,-0.20384638309478764
184.790992996,-0.20178006887435918
184.952297772,-0.19908051490783696
185.109050183,-0.1958055973052979
185.317595512,-0.19096987247467045
185.498493867,-0.1842750191688538
185.713346389,-0.175567376613617
185.880883618,-0.16482763290405278
186.027147086,-0.15220044851303105
186.16359559,-0.13726084232330327
186.280430494,-0.11936085224151616
186.394744764,-0.09932820796966557
186.527578426,-0.07642792463302617
186.695327132,-0.05035434961318974
186.856511076,-0.020736742019653365
187.03642882,0.012875866889953569
187.165195971,0.04776443243026729
187.320108377,0.07734913825988765
187.429150176,0.073306393623352
187.571497875,0.06022245883941646
187.692673667,0.04711778163909908
187.845611372,0.03399909734725948
187.973350622,0.020606052875518754
188.100129319,0.00746597051620479
188.225498389,-0.0056819200515747514
188.413784395,-0.01675115823745732
188.831532246,-0.0190330028533936
188.987762673,0.012958717346191362
189.157826731,0.060949754714965776
189.291350532,0.06595040559768672
189.427784418,0.04762966632843013
189.588281996,0.02423394918441768
189.721327592,0.00948477983474727
189.940885104,-0.01144121885299687
190.127174239,-0.02901833057403569
190.359709444,-0.029992866516113326
190.512811028,-0.027705776691436812
190.642345121,0.019569647312164262
190.807359414,0.10196985006332393
190.937561192,0.17068077325820918
191.092626524,0.17869700193405147
191.2181879,0.17165602445602413
191.338726739,0.16434986591339107
191.479525106,0.15708388090133663
191.605658387,0.1497938752174377
192.024903656,0.14255906343460079
192.207795175,0.13494796752929683
192.32482936,0.12768621444702144
192.460489236,0.1201235175132751
192.599382972,0.11263198852539058
192.767851102,0.10499609708786006
192.968381686,0.09785850048065181
193.205261685,0.09043164253234859
193.373798991,0.0829298615455627
193.514758332,0.07550085783004756
193.696162756,0.06838626861572261
193.810441849,0.0610451221466064
193.97017589,0.05376536846160884
194.056493686,0.04646922349929805
194.173408939,0.039086771011352495
194.302517812,0.031769287586212114
194.453430955,0.024519276618957475
194.577479907,0.017115962505340532
194.778660482,0.009292733669280961
